Dt-value,Dt-alias,AGG(state_title)-alias,AGG(avg_ponderada_br)-value,AGG(avg_ponderada_br)-alias
2020-08-30,30/08/2020,Amapá,0.4614875191034132,0.4614875191034132
2020-08-31,31/08/2020,Amapá,0.3822811981656747,0.3822811981656747
2020-09-01,01/09/2020,Amapá,0.3772062778076566,0.3772062778076566
2020-09-02,02/09/2020,Amapá,0.367741318281833,0.367741318281833
2020-09-03,03/09/2020,Amapá,0.37087643958618,0.37087643958618
2020-09-04,04/09/2020,Amapá,0.3569957369353835,0.3569957369353835
2020-09-05,05/09/2020,Amapá,0.3838297011680235,0.3838297011680235
2020-09-06,06/09/2020,Amapá,0.4585302264950302,0.4585302264950302
2020-09-07,07/09/2020,Amapá,0.4467052261929354,0.4467052261929354
2020-09-08,08/09/2020,Amapá,0.3604365201352598,0.3604365201352598
2020-09-09,09/09/2020,Amapá,0.3642974190905367,0.3642974190905367
2020-09-10,10/09/2020,Amapá,0.3757759115330447,0.3757759115330447
2020-09-11,11/09/2020,Amapá,0.3543795815720478,0.3543795815720478
2020-09-12,12/09/2020,Amapá,0.3838655824223168,0.3838655824223168
2020-09-13,13/09/2020,Amapá,0.4551398680918808,0.4551398680918808
2020-09-14,14/09/2020,Amapá,0.3825737548905573,0.3825737548905573
2020-09-15,15/09/2020,Amapá,0.3782831518257528,0.3782831518257528
2020-09-16,16/09/2020,Amapá,0.3781782544781402,0.3781782544781402
2020-09-17,17/09/2020,Amapá,0.3778517629079795,0.3778517629079795
2020-09-18,18/09/2020,Amapá,0.359135516594994,0.359135516594994
2020-09-19,19/09/2020,Amapá,0.3805597351790551,0.3805597351790551
2020-09-20,20/09/2020,Amapá,0.4445871324001542,0.4445871324001542
2020-09-21,21/09/2020,Amapá,0.3695970695970696,0.3695970695970696
2020-09-22,22/09/2020,Amapá,0.3620134798712733,0.3620134798712733
2020-09-23,23/09/2020,Amapá,0.355926918999813,0.355926918999813
2020-09-24,24/09/2020,Amapá,0.3497640923764589,0.3497640923764589
2020-09-25,25/09/2020,Amapá,0.3420072040740281,0.3420072040740281
2020-09-26,26/09/2020,Amapá,0.3746740443935636,0.3746740443935636
2020-09-27,27/09/2020,Amapá,0.4412736962828038,0.4412736962828038
2020-09-28,28/09/2020,Amapá,0.3601815823605707,0.3601815823605707
2020-09-29,29/09/2020,Amapá,0.356052775582173,0.356052775582173
2020-09-30,30/09/2020,Amapá,0.3450292397660819,0.3450292397660819
2020-10-01,01/10/2020,Amapá,0.3407066419561189,0.3407066419561189
2020-10-02,02/10/2020,Amapá,0.3509641873278237,0.3509641873278237
2020-10-03,03/10/2020,Amapá,0.3594236018536152,0.3594236018536152
2020-10-04,04/10/2020,Amapá,0.4378980891719746,0.4378980891719746
2020-10-05,05/10/2020,Amapá,0.3626269035532995,0.3626269035532995
2020-10-06,06/10/2020,Amapá,0.3533500313087038,0.3533500313087038
2020-10-07,07/10/2020,Amapá,0.3501724358155576,0.3501724358155576
